Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
27,HHH70,439.200000,-,7.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
28,Dobogoko70,439.350000,-,7.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
29,Orbotty70,438.612500,-,7.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
30,Eszterg70,439.425000,-,7.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
31,Eszterg2,145.787500,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
32,Dorog2,145.662500,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
33,Hidegh70,439.075000,-,7.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
34,Erd2,145.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
35,Erd70,438.675000,-,7.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
36,Gerecse2,145.675000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
37,Szfeher70,438.750000,-,7.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
38,Fonyod2,145.612500,-,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
39,PTapolc,446.093750,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
40,PKeszth,446.081250,,0.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
41,PBalkelet,446.145000,,0.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,Papagaj Balaton Kelet,,,,
42,SioSag70,439.150000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
43,Korish2,145.712500,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
44,KaposIgal2,145.700000,-,0.600000,TSQL,88.5,74.4,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
45,Dombovar70,439.337500,-,7.600000,Tone,74.4,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
46,PUrkuti,446.131250,,0.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,Papagaj Urkuti,,,,
47,PLepseny,446.156250,,0.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,Papagaj Lepseny,,,,
48,Sopron2,145.687500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
49,Miskolc2,145.687500,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
50,Bekescs2,145.700000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
51,Bekescs70,439.000000,-,7.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
52,Gyula2,145.787500,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
53,Kiskoh2,145.725000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
54,Szexard2,145.737500,-,0.600000,Tone,74.4,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
55,Ozd2,145.762500,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
56,Ozd70,438.762500,-,7.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
57,Pecs2,145.775000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
58,Pecs70,438.900000,-,7.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
59,Satoralj2,145.775000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
60,Galyateto2,145.625000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
61,Debrecen70,438.625000,-,7.600000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
62,Debrecen2,145.600000,-,0.600000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
