Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
86,Tothvazsony,129.185,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
87,Tokol,127.560,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
88,Veresegyhaz,129.985,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
89,Zalacsany,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
90,Zalaegerszeg,133.415,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
91,Zalakaros,135.710,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
92,BudapestVOLMET,127.405,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
93,Kelettajekoztato,133.000,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
94,Nyugattajekoztato,125.500,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
95,Eszaktajekoztato,119.350,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
96,Eszak-Kelettajekoztato,134.850,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
97,Bp Ctrl,133.200,,0.000000,,88.5,88.5,23,NN,23,Tone->Tone,AM,25.00,,5.0W,,,,,
