Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
44,VHF74,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
45,VHF75,156.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,1.5W,,,,,
46,VHF76,156.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,1.5W,,,,,
47,VHF77,156.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
48,VHF78,161.525000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
49,VHF79,161.575000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
50,VHF80,161.625000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
51,VHF81,161.675000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
52,VHF82,161.725000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
53,VHF83,161.775000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
54,VHF84,161.825000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
55,VHF85,161.875000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
56,VHF86,161.925000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
57,VHF87,157.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
58,VHF88,157.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,5.0W,,,,,
